Timestamp,,bw_or_ad,male_or_female,cups_w_day,cups_ad_day,Total
10/26/2023 15:22:45,,Artificial Drinks,Female,8,2,10
10/27/2023 9:20:19,,Artificial Drinks,Female,5,7,12
10/27/2023 9:21:24,,Artificial Drinks,Male,4,2,6
10/27/2023 9:57:29,,Artificial Drinks,Male,8,3,11
10/27/2023 10:07:16,,Artificial Drinks,Male,8,3,11
10/27/2023 12:59:41,,Artificial Drinks,Male,8,2,10
10/27/2023 15:11:35,,Artificial Drinks,Male,8,2,10
10/28/2023 0:53:36,,Artificial Drinks,Male,3,1,4
10/30/2023 11:22:29,,Artificial Drinks,Male,3,5,8
10/30/2023 11:23:42,,Artificial Drinks,Female,5,9,14
10/30/2023 11:23:57,,Artificial Drinks,Male,0,10,10
10/30/2023 11:26:21,,Artificial Drinks,Female,2,10,12
10/30/2023 11:27:16,,Artificial Drinks,Female,3,5,8
10/30/2023 11:29:24,,Artificial Drinks,Male,2,5,7
10/30/2023 11:30:00,,Artificial Drinks,Male,2,4,6
10/30/2023 11:31:10,,Artificial Drinks,Male,6,1,7
10/30/2023 11:35:08,,Artificial Drinks,Male,3,6,9
10/30/2023 11:35:40,,Artificial Drinks,Male,2,6,8
10/30/2023 11:35:59,,Artificial Drinks,Female,4,8,12
10/30/2023 11:36:16,,Artificial Drinks,Female,2,7,9
10/30/2023 11:38:19,,Artificial Drinks,Male,8,10,18
10/30/2023 11:40:17,,Artificial Drinks,Male,3,5,8
10/30/2023 11:41:25,,Artificial Drinks,Male,6,8,14
10/30/2023 11:42:41,,Artificial Drinks,Male,1,7,8
10/30/2023 12:30:04,,Artificial Drinks,Male,2,8,10
10/30/2023 13:18:35,,Artificial Drinks,Male,5,2,7
10/30/2023 14:37:32,,Artificial Drinks,Female,4,2,6
10/30/2023 15:07:51,,Artificial Drinks,Male,6,3,9
10/30/2023 17:19:39,,Artificial Drinks,Female,4,5,9
10/30/2023 19:11:44,,Artificial Drinks,Male,2,4,6
10/30/2023 19:11:55,,Artificial Drinks,Female,3,4,7
10/30/2023 19:12:25,,Artificial Drinks,Male,3,3,6
10/30/2023 19:14:05,,Artificial Drinks,Female,2,5,7
10/30/2023 22:39:19,,Artificial Drinks,Male,3,7,10
10/30/2023 22:39:45,,Artificial Drinks,Male,0,4,4
10/31/2023 0:33:54,,Artificial Drinks,Male,0,4,4
10/31/2023 0:36:51,,Artificial Drinks,Male,2,8,10
10/31/2023 0:37:07,,Artificial Drinks,Female,1,8,9
10/31/2023 0:42:08,,Artificial Drinks,Female,2,8,10
10/31/2023 0:42:16,,Artificial Drinks,Male,6,5,11
10/31/2023 0:42:35,,Artificial Drinks,Male,5,1,6
10/31/2023 0:42:50,,Artificial Drinks,Female,5,6,11
10/31/2023 0:42:59,,Artificial Drinks,Male,8,6,14
10/31/2023 0:43:11,,Artificial Drinks,Female,4,1,5
10/31/2023 0:46:28,,Artificial Drinks,Male,6,6,12
10/31/2023 0:46:37,,Artificial Drinks,Male,6,10,16
10/31/2023 11:01:29,,Artificial Drinks,Male,0,1,1
10/31/2023 11:02:51,,Artificial Drinks,Male,3,9,12
10/31/2023 11:07:01,,Artificial Drinks,Female,3,5,8
10/31/2023 11:08:03,,Artificial Drinks,Female,1,5,6
10/31/2023 11:09:37,,Artificial Drinks,Female,2,7,9
10/26/2023 15:14:51,,Bottled Water,Male,7,0,7
10/26/2023 15:23:49,,Bottled Water,Female,5,0,5
10/26/2023 17:00:21,,Bottled Water,Male,8,0,8
10/26/2023 17:50:59,,Bottled Water,Female,7,2,9
10/26/2023 20:14:39,,Bottled Water,Male,6,2,8
10/26/2023 22:38:40,,Bottled Water,Male,6,1,7
10/26/2023 23:11:08,,Bottled Water,Female,4,3,7
10/26/2023 23:54:15,,Bottled Water,Male,6,0,6
10/27/2023 9:19:54,,Bottled Water,Male,8,2,10
10/27/2023 9:23:51,,Bottled Water,Male,10,2,12
10/27/2023 9:55:29,,Bottled Water,Male,4,2,6
10/27/2023 10:09:02,,Bottled Water,Male,5,0,5
10/27/2023 10:33:21,,Bottled Water,Male,5,2,7
10/27/2023 15:49:34,,Bottled Water,Male,5,0,5
10/30/2023 11:22:19,,Bottled Water,Male,6,4,10
10/30/2023 11:22:59,,Bottled Water,Female,3,6,9
10/30/2023 11:23:23,,Bottled Water,Male,8,2,10
10/30/2023 11:24:15,,Bottled Water,Female,10,0,10
10/30/2023 11:24:31,,Bottled Water,Female,7,5,12
10/30/2023 11:25:22,,Bottled Water,Female,4,0,4
10/30/2023 11:26:59,,Bottled Water,Male,3,1,4
10/30/2023 11:27:48,,Bottled Water,Male,8,7,15
10/30/2023 11:30:23,,Bottled Water,Male,6,4,10
10/30/2023 11:30:46,,Bottled Water,Male,3,0,3
10/30/2023 11:37:01,,Bottled Water,Female,6,5,11
